gene,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
7_73217,2,2,3,8,6,0,6,8,4,2,4,1,1,6,3
5_65348,2,3,6,9,2,0,9,9,6,1,0,1,5,1,3
5_67369,2,3,6,9,2,0,9,9,6,1,0,1,5,1,3
5_67437,2,3,6,9,2,0,9,9,6,1,0,1,5,1,3
6_69139,2,0,1,0,0,0,2,2,5,0,0,0,0,5,3
eca-miR-129a-5p,2,1,0,1,0,0,2,2,10,0,0,2,1,4,3
eca-miR-129b-5p,2,1,0,1,0,0,2,2,10,0,0,2,1,4,3
11_13347,2,9,8,2,5,0,1,3,4,5,2,0,4,2,2
28_53583,2,9,8,3,1,0,5,4,11,5,3,1,3,1,2
14_20245,2,2,2,0,0,0,6,0,6,3,0,1,1,1,2
10_6784,2,2,0,0,0,0,0,2,2,0,0,0,1,3,2
14_20523,2,4,3,2,1,0,3,2,3,2,1,1,2,2,2
9_81239,2,0,1,1,0,0,3,0,0,1,0,1,0,0,2
eca-miR-424,2,2,2,0,0,0,1,2,3,1,0,3,0,0,2
eca-miR-494,2,4,2,1,0,0,0,0,0,1,0,2,1,1,2
1_5495,2,1,2,1,0,0,1,1,1,2,0,0,0,2,1
7_72901,2,0,0,0,3,0,1,0,5,1,0,1,0,19,1
eca-miR-134,2,6,9,5,10,0,2,0,2,0,3,2,1,6,1
11_10464,2,0,2,1,1,0,2,3,1,0,1,0,2,0,1
15_22423,2,1,3,3,1,0,2,5,1,7,0,1,0,0,1
eca-miR-542-3p,2,1,0,0,2,0,1,1,6,0,0,0,1,0,1
7_73977,2,5,6,3,1,0,6,4,5,5,0,1,3,4,0
12_14601,2,1,0,1,1,0,1,0,1,0,0,0,1,0,0
11_12119,2,7,6,5,1,0,5,4,6,1,1,4,3,4,0
20_39325,2,6,1,7,2,0,1,2,2,0,2,1,1,0,0
3_59163,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3_59281,2,0,1,1,0,0,3,0,1,0,0,0,0,0,0
9_80161,2,4,3,0,0,0,1,0,0,0,0,1,1,0,0
3_59255,2,2,3,1,1,0,2,2,0,0,0,0,1,0,0
eca-miR-1,2,2,1,0,1,0,0,1,2,0,0,0,1,4,0
eca-miR-323-3p,2,8,5,4,1,0,0,1,0,0,1,2,2,2,0
eca-miR-122,1,2,4,2,6,0,5,2,14,1,5,25,2,35,119
eca-miR-486-3p,1,1,6,1,0,0,0,0,17,1,1,2,0,7,54
eca-miR-10b,1,6,7,4,14,0,3,3,18,2,2,11,5,17,43
eca-miR-31,1,4,14,10,6,0,19,11,105,3,7,15,13,39,17
eca-miR-100,1,2,2,2,6,0,4,1,8,2,1,7,3,10,17
eca-miR-1291a,1,1,2,1,1,0,2,1,5,0,0,2,2,14,13
eca-miR-33b,1,13,36,26,7,0,28,48,25,22,2,1,18,1,11
5_66355,1,1,3,0,8,0,3,2,9,2,3,4,1,8,11
eca-miR-211,1,0,0,1,1,0,1,0,6,0,0,6,0,0,9
15_24240,1,2,4,0,9,0,1,4,14,3,2,9,6,37,9
11_12328,1,2,3,4,1,0,9,5,5,4,0,3,8,4,5
eca-miR-1468,1,0,0,0,0,0,0,4,0,0,0,1,0,2,4
2_36871,1,5,10,9,14,0,4,16,16,8,6,5,4,3,4
eca-miR-183,1,1,0,2,1,0,2,3,6,0,0,4,0,4,4
eca-miR-365,1,3,2,0,0,0,1,0,5,0,0,0,0,5,4
17_29007,1,5,1,1,4,0,4,4,3,4,0,0,2,2,3
18_30524,1,2,3,5,4,0,14,6,10,2,0,2,2,1,3
14_22227,1,13,7,4,0,0,0,5,13,2,1,3,5,7,2
3_55594,1,0,1,0,0,0,0,0,1,0,0,1,0,6,2
2_33569,1,1,2,7,0,0,1,5,1,4,0,0,0,0,2
16_26199,1,5,3,0,3,0,3,3,5,3,0,0,3,1,2
31_60638,1,0,3,1,1,0,1,3,2,1,0,1,3,0,2
6_71270,1,0,1,1,0,0,1,0,2,1,0,0,0,1,2
eca-miR-532-3p,1,3,3,1,2,0,3,1,11,3,1,4,5,11,2
19_33385,1,5,22,15,6,0,14,10,6,12,1,2,4,1,2
eca-miR-335,1,1,2,4,3,0,1,3,2,0,2,9,4,3,2
eca-miR-450a,1,2,3,5,1,0,4,5,15,2,1,2,1,3,2
Un0103_85742,1,0,5,2,2,0,2,0,3,0,3,2,2,3,1
2_34633,1,5,4,1,4,0,2,5,2,4,0,1,2,0,1
11_9659,1,3,4,3,1,0,4,6,3,2,3,2,7,5,1
4_61095,1,0,4,6,5,0,3,4,2,1,0,1,1,3,1
15_24711,1,0,1,0,0,0,0,0,0,0,2,0,0,2,1
20_39492,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15_23319,1,1,1,2,1,0,3,5,6,4,0,1,0,6,1
18_31562,1,3,3,4,3,0,7,3,4,4,3,1,5,3,1
15_24593,1,2,2,2,1,0,4,3,6,0,0,1,2,1,1
7_74911,1,5,2,0,0,0,0,0,0,0,0,0,1,0,1
9_80135,1,0,0,1,0,0,0,0,2,0,0,0,1,0,1
1_816,1,2,2,3,0,0,6,15,3,5,0,2,1,1,1
5_66115,1,2,4,0,1,0,2,1,8,1,1,2,1,3,1
eca-miR-487b,1,5,7,3,3,0,0,0,0,0,0,1,1,3,1
12_16131,1,0,1,2,0,0,1,0,0,1,0,1,0,0,1
2_36103,1,0,2,0,1,0,2,5,3,3,0,1,1,1,1
2_36607,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
4_61750,1,2,4,2,4,0,2,1,3,3,1,2,1,2,1
5_66040,1,1,1,0,0,0,1,0,1,1,0,2,1,1,1
X_82460,1,0,2,2,1,0,0,3,1,1,0,0,2,5,1
eca-miR-376c,1,1,5,4,0,0,0,1,0,0,0,0,4,2,1
eca-miR-543,1,1,1,2,0,0,0,1,0,1,0,0,0,1,1
9_81357,1,0,1,0,2,0,0,2,0,1,0,0,0,0,0
eca-miR-301a,1,3,4,7,1,0,7,5,9,4,0,5,5,3,0
8_76751,1,0,3,1,0,0,2,1,0,1,1,1,0,0,0
21_42354,1,2,2,1,1,0,3,2,1,5,0,3,2,0,0
2_36085,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
21_42352,1,0,3,0,0,0,0,1,2,1,0,1,1,1,0
7_72246,1,1,0,1,2,0,0,1,0,1,0,1,1,1,0
1_451,1,7,13,6,15,0,7,7,6,4,1,9,3,4,0
3_55673,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6_71192,1,0,5,4,3,0,3,1,1,2,1,1,1,3,0
8_76147,1,0,0,0,0,0,0,2,0,2,0,2,0,1,0
Un0017_86522,1,7,13,6,15,0,7,7,6,4,1,9,3,4,0
eca-miR-219-5p,1,3,6,3,3,0,5,4,3,3,0,3,1,2,0
3_59053,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5_65037,1,0,4,2,0,0,2,2,0,0,0,1,0,0,0
7_72635,1,1,1,1,2,0,1,3,1,1,0,2,0,1,0
16_26715,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
22_43060,1,1,2,0,2,0,0,1,0,1,0,0,1,0,0
7_71597,1,1,2,0,0,0,0,0,2,0,0,1,1,1,0
10_8541,1,0,2,0,0,0,0,1,0,0,1,0,1,1,0
11_10178,1,0,0,0,0,0,2,2,3,0,0,0,0,5,0
13_18150,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0
20_39324,1,2,2,2,3,0,0,0,3,0,0,0,0,1,0
21_42388,1,0,0,0,2,0,1,1,0,3,0,0,0,0,0
26_51023,1,1,6,2,1,0,4,3,1,5,1,2,1,3,0
6_69138,1,0,0,0,0,0,2,2,3,0,0,0,0,4,0
eca-miR-432,1,0,2,3,2,0,0,0,0,0,0,1,3,1,0
13_16802,1,0,0,1,2,0,0,1,2,1,0,0,0,0,0
16_27279,1,3,3,3,2,0,0,1,1,1,0,0,1,2,0
16_27900,1,0,2,1,1,0,0,1,0,0,0,0,0,3,0
16_27901,1,0,2,1,1,0,0,1,0,0,0,0,0,3,0
20_39079,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
26_50485,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0
2_34433,1,0,1,1,0,0,1,0,1,2,1,0,1,1,0
2_34621,1,0,2,2,2,0,3,0,1,2,2,0,0,0,0
2_35350,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2_36691,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
3_56233,1,0,0,3,1,0,0,2,1,1,0,5,0,3,0
